"countryname","iso3","iso2","target_N","male_percent","female_percent","age_18.24_percent","age_25.34_percent","age_35.44_percent","age_45.54_percent","age_55.99_percent","male","female","age1","age2","age3","age4","age5","total_gender","total_age"
"Algeria","DZA","dz",378,"50%","50%","14.00%","24.00%","24.00%","17.00%","22.00%",333,312,95,194,183,144,170,378,382
"Argentina","ARG","ar",378,"48.80%","51.30%","14.60%","20.10%","19.50%","15.90%","30.00%",184,194,67,101,98,80,136,378,378
"Australia","AUS","au",378,"49.20%","50.90%","11.80%","19.00%","17.50%","16.30%","35.50%",186,192,55,96,88,82,162,378,379
"Brazil","BRA","br",378,"48.60%","51.40%","14.80%","20.50%","20.70%","17.00%","27.00%",184,194,68,103,105,85,123,378,377
"Chile","CHL","cl",378,"49.00%","51.00%","12.30%","20.30%","17.90%","16.80%","32.70%",185,193,56,103,90,85,150,378,379
"China","CHN","cn",387,"50.50%","49.50%","9.70%","19.40%","18.00%","19.90%","33.00%",194,193,47,103,95,99,152,378,378
"Colombia","COL","co",378,"47.90%","51.90%","15.20%","22.20%","18.30%","15.70%","28.40%",181,196,69,111,92,79,130,377,376
"Dominican Republic","DOM","do",378,"49.80%","50.20%","17.60%","23.70%","19.70%","15.70%","23.30%",188,190,81,120,98,79,107,378,378
"Egypt","EGY","eg",315,"51.30%","48.70%","19.30%","24.90%","21.90%","14.40%","19.50%",162,153,74,105,92,61,74,315,314
"France","FRA","fr",378,"48.30%","51.60%","10.60%","14.80%","15.20%","16.30%","43.00%",183,195,48,75,76,82,197,378,378
"Germany","DEU","de",378,"49.10%","50.90%","8.50%","14.40%","15.00%","15.80%","46.30%",186,192,38,72,76,80,212,378,378
"Greece","GRC","gr",378,"48.20%","51.90%","9.00%","13.10%","15.80%","18.00%","44.20%",182,196,41,67,80,90,202,378,379
"Guatemala","GTM","gt",378,"48.70%","51.30%","23.30%","28.10%","20.00%","12.60%","16.00%",184,194,107,142,101,64,73,378,378
"Hungary","HUN","hu",378,"46.90%","53.00%","8.70%","15.00%","17.00%","18.90%","40.30%",177,200,40,76,85,95,184,377,377
"India","IND","in",378,"51%","49%","17.80%","24.40%","20.60%","16.20%","21.20%",194,185,81,122,105,81,97,379,378
"Indonesia","IDN","id",378,"49.60%","50.40%","16.00%","21.40%","20.90%","18.50%","23.20%",187,191,73,108,106,94,107,378,378
"Italy","ITA","it",378,"47.80%","52.10%","8.00%","12.70%","15.20%","19.20%","44.80%",181,197,36,64,76,97,205,378,377
"Japan","JPN","jp",378,"48.00%","52.00%","7.80%","11.90%","14.40%","17.30%","48.60%",181,197,35,61,72,87,222,378,377
"Kenya","KEN","ke",378,"49.55%","50.45%","25.56%","27.46%","20.71%","12.98%","13.28%",187,191,118,138,105,65,61,378,378
"Korea","KOR","kr",378,"49.80%","50.00%","9.00%","16.00%","17.40%","18.60%","38.80%",188,189,41,80,88,94,178,377,377
"Malaysia","MYS","my",378,"51.10%","48.90%","16.40%","24.30%","21.00%","15.60%","22.70%",193,185,75,122,106,79,105,378,378
"Mexico","MEX","mx",378,"48.00%","52%","16.60%","22.60%","20.50%","16.80%","23.50%",181,197,76,113,103,85,108,378,378
"Morocco","MAR","ma",263,"60.00%","40%","23.00%","35.00%","27.00%","15.00%","0",158,105,73,122,95,52,0,263,262
"Nigeria","NGA","ng",378,"53.00%","47.00%","26.26%","26.42%","19.29%","13.39%","14.64%",200,178,120,133,97,68,67,378,378
"Peru","PER","pe",378,"48.90%","51%","16.70%","23.10%","20.10%","16.30%","24%",185,193,76,117,101,82,110,378,379
"Philippines","PHL","ph",378,"49.00%","51%","21.70%","26.30%","20.50%","14.00%","17.10%",185,193,99,132,103,70,79,378,376
"Poland","POL","pl",378,"47.80%","52.20%","8.21%","15.27%","20.31%","17.95%","38.26%",181,197,37,77,103,90,176,378,379
"Romania","ROU","ro",378,"48%","52%","8.80%","12.01%","16.77%","19.11%","43.32%",181,197,40,61,84,96,198,378,377
"Russia","RUS","ru",378,"45.00%","55.10%","8.40%","15.90%","20.70%","16.90%","38.20%",170,208,38,80,105,85,174,378,378
"Saudi Arabia","SAU","sa",378,"58.80%","41.10%","14.80%","23.70%","28.20%","18.70%","14.50%",222,155,68,120,143,95,67,377,379
"Singapore","SGP","sg",378,"49.60%","50.60%","12.00%","19.90%","19.80%","17.50%","31.00%",187,191,55,99,99,88,142,378,378
"South Africa","ZAF","za",378,"49.10%","50.90%","17.00%","26.30%","22.80%","14.20%","19.70%",186,192,77,132,116,72,89,378,377
"Spain","ESP","es",378,"48.40%","51.60%","8.40%","12.40%","17.20%","20.80%","41.20%",183,195,38,63,87,106,189,378,379
"Sweden","SWE","se",378,"50.00%","49.90%","9.70%","17.30%","16.20%","15.60%","41.10%",189,189,45,87,81,79,187,378,377
"Switzerland","CHE","ch",378,"48.90%","51.00%","9%","15.80%","17.50%","17.30%","40.50%",185,193,40,80,88,87,185,378,377
"Taiwan","TWN","tw",378,"48.90%","51.10%","9.30%","16.10%","18.80%","17.90%","37.90%",185,193,42,81,95,90,173,378,378
"Thailand","THA","th",378,"48.20%","51.90%","10.80%","17.20%","18.30%","19.30%","34.50%",182,196,50,87,92,97,157,378,378
"Turkey","TUR","tr",378,"49.90%","50.10%","14.70%","20.40%","21.50%","17.70%","25.70%",189,189,68,103,108,89,118,378,378
"UAE","ARE","ae",378,"73.00%","27.10%","8.70%","26.50%","37.80%","17.20%","9.90%",276,102,40,133,190,87,45,378,378
"Ukraine","UKR","ua",378,"45.20%","54.90%","7.20%","14.36%","19.64%","18.08%","40.71%",171,208,33,72,98,90,186,379,377
"United States","USA","us",378,"48.80%","51.20%","11.60%","17.80%","16.60%","15.30%","38.70%",184,194,53,89,84,77,177,378,378
"Vietnam","VNM","vn",378,"49.10%","50.80%","14.00%","23.10%","21.70%","17.10%","24.00%",186,192,64,117,109,87,110,378,378
