countryname,iso3,iso2,target_N,male_percent,female_percent,age_18-24_percent,age_25-34_percent,age_35-44_percent,age_45-54_percent,age_55-99_percent,male,female,age1,age2,age3,age4,age5,total_gender,total_age
Algeria,DZA,dz,360,50%,50%,14.00%,24.00%,24.00%,17.00%,22.00%,180,180,50,86,86,61,79,360,362
Argentina,ARG,ar,360,48.80%,51.30%,14.60%,20.10%,19.50%,15.90%,30.00%,176,185,53,72,70,57,108,361,360
Australia,AUS,au,360,49.20%,50.90%,11.80%,19.00%,17.50%,16.30%,35.50%,177,183,42,68,63,59,128,360,360
Brazil,BRA,br,360,48.60%,51.40%,14.80%,20.50%,20.70%,17.00%,27.00%,175,185,53,74,75,61,97,360,360
Chile,CHL,cl,360,49.00%,51.00%,12.30%,20.30%,17.90%,16.80%,32.70%,176,184,44,73,64,60,118,360,359
China,CHN,cn,360,50.50%,49.50%,9.70%,19.40%,18.00%,19.90%,33.00%,182,178,35,70,65,72,119,360,361
Colombia,COL,co,360,47.90%,51.90%,15.20%,22.20%,18.30%,15.70%,28.40%,172,187,55,80,66,57,102,359,360
Dominican Republic,DOM,do,360,49.80%,50.20%,17.60%,23.70%,19.70%,15.70%,23.30%,179,181,63,85,71,57,84,360,360
Egypt,EGY,eg,300,51.30%,48.70%,19.30%,24.90%,21.90%,14.40%,19.50%,154,146,58,75,66,43,59,300,301
France,FRA,fr,360,48.30%,51.60%,10.60%,14.80%,15.20%,16.30%,43.00%,174,186,38,53,55,59,155,360,360
Germany,DEU,de,360,49.10%,50.90%,8.50%,14.40%,15.00%,15.80%,46.30%,177,183,31,52,54,57,167,360,361
Greece,GRC,gr,360,48.20%,51.90%,9.00%,13.10%,15.80%,18.00%,44.20%,174,187,32,47,57,65,159,361,360
Guatemala,GTM,gt,360,48.70%,51.30%,23.30%,28.10%,20.00%,12.60%,16.00%,175,185,84,101,72,45,58,360,360
Hungary,HUN,hu,360,46.90%,53.00%,8.70%,15.00%,17.00%,18.90%,40.30%,169,191,31,54,61,68,145,360,359
India,IND,in,360,51%,49%,17.80%,24.40%,20.60%,16.20%,21.20%,184,176,64,88,74,58,76,360,360
Indonesia,IDN,id,360,49.60%,50.40%,16.00%,21.40%,20.90%,18.50%,23.20%,179,181,58,77,75,67,84,360,361
Italy,ITA,it,360,47.80%,52.10%,8.00%,12.70%,15.20%,19.20%,44.80%,172,188,29,46,55,69,161,360,360
Japan,JPN,jp,360,48.00%,52.00%,7.80%,11.90%,14.40%,17.30%,48.60%,173,187,28,43,52,62,175,360,360
Kenya,KEN,ke,360,49.55%,50.45%,25.56%,27.46%,20.71%,12.98%,13.28%,178,182,92,99,75,47,48,360,361
Korea,KOR,kr,360,49.80%,50.00%,9.00%,16.00%,17.40%,18.60%,38.80%,179,180,32,58,63,67,140,359,360
Malaysia,MYS,my,360,51.10%,48.90%,16.40%,24.30%,21.00%,15.60%,22.70%,184,176,59,87,76,56,82,360,360
Mexico,MEX,mx,360,48.00%,52%,16.60%,22.60%,20.50%,16.80%,23.50%,173,187,60,81,74,60,85,360,360
Morocco,MAR,ma,360,60.00%,40%,23.00%,35.00%,27.00%,15.00%,0,216,144,83,126,97,54,0,360,360
Nigeria,NGA,ng,360,53.00%,47.00%,26.26%,26.42%,19.29%,13.39%,14.64%,191,169,95,95,69,48,53,360,360
Peru,PER,pe,360,48.90%,51%,16.70%,23.10%,20.10%,16.30%,24%,176,184,60,83,72,59,86,360,360
Philippines,PHL,ph,360,49.00%,51%,21.70%,26.30%,20.50%,14.00%,17.10%,176,184,78,95,74,50,62,360,359
Poland,POL,pl,360,47.80%,52.20%,8.21%,15.27%,20.31%,17.95%,38.26%,172,188,30,55,73,65,138,360,361
Romania,ROU,ro,360,48%,52%,8.80%,12.01%,16.77%,19.11%,43.32%,173,187,32,43,60,69,156,360,360
Russia,RUS,ru,360,45.00%,55.10%,8.40%,15.90%,20.70%,16.90%,38.20%,162,198,30,57,75,61,138,360,361
Saudi Arabia,SAU,sa,360,58.80%,41.10%,14.80%,23.70%,28.20%,18.70%,14.50%,212,148,53,85,102,67,52,360,359
Singapore,SGP,sg,360,49.60%,50.60%,12.00%,19.90%,19.80%,17.50%,31.00%,179,182,43,72,71,63,112,361,361
South Africa,ZAF,za,360,49.10%,50.90%,17.00%,26.30%,22.80%,14.20%,19.70%,177,183,61,95,82,51,71,360,360
Spain,ESP,es,360,48.40%,51.60%,8.40%,12.40%,17.20%,20.80%,41.20%,174,186,30,45,62,75,148,360,360
Sweden,SWE,se,360,50.00%,49.90%,9.70%,17.30%,16.20%,15.60%,41.10%,180,180,35,62,58,56,148,360,359
Switzerland,CHE,ch,360,48.90%,51.00%,9%,15.80%,17.50%,17.30%,40.50%,176,184,32,57,63,62,146,360,360
Taiwan,TWN,tw,360,48.90%,51.10%,9.30%,16.10%,18.80%,17.90%,37.90%,176,184,33,58,68,64,136,360,359
Thailand,THA,th,360,48.20%,51.90%,10.80%,17.20%,18.30%,19.30%,34.50%,174,187,39,62,66,69,124,361,360
Turkey,TUR,tr,360,49.90%,50.10%,14.70%,20.40%,21.50%,17.70%,25.70%,180,180,53,73,77,64,93,360,360
UAE,ARE,ae,360,73.00%,27.10%,8.70%,26.50%,37.80%,17.20%,9.90%,263,98,31,95,136,62,36,361,360
Ukraine,UKR,ua,360,45.20%,54.90%,7.20%,14.36%,19.64%,18.08%,40.71%,163,198,26,52,71,65,147,361,361
United States,USA,us,360,48.80%,51.20%,11.60%,17.80%,16.60%,15.30%,38.70%,176,184,42,64,60,55,139,360,360
Vietnam,VNM,vn,360,49.10%,50.80%,14.00%,23.10%,21.70%,17.10%,24.00%,177,183,50,83,78,62,86,360,359
